"Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G","MP.1","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","pos.f","distFT","distMI","distMIO","distMID","avgspeed","avgspeedO","avgspeedD","agerange"
"Marcin Gortat","C",31,"WAS",75,74,30.1,5.8,10.2,0.567,0,0,0,5.8,10.2,0.567,0.567,1.9,2.8,0.705,3,6.9,9.9,1.4,0.6,1.3,1.6,2.6,13.5,2256,19,0.592,0.001,0.271,10.8,26.3,18.4,7.5,1,3.4,12.4,18.9,4.2,3.1,7.3,0.156,-0.5,1.7,1.2,1.8,"C",11054.2,2.09,1.1,0.99,4.17,4.58,3.79,"31-34"
"Andrew Goudelock","PG",27,"HOU",8,0,6.3,1.1,2.5,0.45,0.1,1.1,0.111,1,1.4,0.727,0.475,0.4,0.5,0.75,0.1,0.1,0.3,0.5,0.8,0.3,0.9,0.5,2.8,50,12.4,0.506,0.45,0.2,2.2,2.2,2.2,13.3,5.9,3.3,24.3,24.8,-0.1,0.1,0,-0.033,-4.1,0.6,-3.6,0,"PG",2237.5,0.42,0.22,0.21,4.08,4.73,3.57,"25-27"
"Jerami Grant","SF",21,"PHI",77,52,26.8,3.3,7.8,0.419,0.5,1.9,0.24,2.8,5.9,0.477,0.448,2.8,4.2,0.658,1.3,3.4,4.7,1.8,0.7,1.6,1.4,2.8,9.7,2066,12.6,0.506,0.244,0.538,5,14.3,9.5,10.4,1.3,4.7,12.9,18,0.5,1.6,2.1,0.05,-2.6,1.3,-1.3,0.4,"SF",10341.3,1.96,1.06,0.9,4.37,4.69,4.04,"19-21"
"Jerian Grant","PG",23,"NYK",76,6,16.6,2,5.1,0.394,0.3,1.3,0.22,1.7,3.8,0.454,0.422,1.3,1.6,0.78,0.3,1.6,1.9,2.3,0.7,0.1,1.1,1.3,5.6,1265,11.2,0.479,0.256,0.315,2,10.2,6.2,21.8,2,0.6,16.3,19,-0.2,1,0.8,0.03,-2.3,-1.1,-3.4,-0.5,"PG",6308.2,1.19,0.65,0.55,4.29,4.58,4.01,"22-24"
"Danny Green","SG",28,"SAS",79,79,26.1,2.7,7.1,0.376,1.5,4.4,0.332,1.2,2.7,0.448,0.48,0.4,0.6,0.739,0.6,3.2,3.8,1.8,1,0.8,0.9,1.8,7.2,2062,10.5,0.492,0.622,0.082,2.7,13.6,8.4,9.3,2,2.4,11.4,14.6,0.2,4.1,4.2,0.099,-0.2,3,2.7,2.5,"SG",10430.4,1.98,1.09,0.88,4.55,4.84,4.22,"28-30"
"Draymond Green","PF",25,"GSW",81,81,34.7,5,10.1,0.49,1.2,3.2,0.388,3.7,6.9,0.537,0.551,2.8,4.1,0.696,1.7,7.8,9.5,7.4,1.5,1.4,3.2,3,14,2808,19.3,0.587,0.315,0.402,5.5,23,14.7,29,2,3,21.2,18.8,6,5.1,11.1,0.19,2,3.9,5.8,5.5,"PF",11798.5,2.23,1.18,1.05,3.86,4.38,3.41,"25-27"
"Erick Green","PG",24,"TOT",9,0,4.7,0.6,1.4,0.385,0.1,0.6,0.2,0.4,0.9,0.5,0.423,0.2,0.2,1,0.3,0.3,0.7,0.3,0.1,0,0,0.4,1.4,42,12.4,0.468,0.385,0.154,8.4,8.2,8.3,11,1.3,0,0,15.2,0.1,0,0.1,0.121,0.1,-2.2,-2,0,"PG",1806.8,0.34,0.2,0.14,4.4,4.64,4.12,"22-24"
"Gerald Green","SG",30,"MIA",69,14,22.6,3.3,8.5,0.392,1.2,3.8,0.323,2.1,4.7,0.446,0.463,1,1.3,0.783,0.4,2,2.4,0.8,0.6,0.3,0.7,1.8,8.9,1557,10.1,0.491,0.443,0.157,1.9,9.7,5.9,5.6,1.3,0.9,6.8,19.8,0.3,1.4,1.7,0.052,-1.2,-1.8,-3,-0.4,"SG",8314.9,1.57,0.84,0.74,4.18,4.38,3.96,"28-30"
"JaMychal Green","PF",25,"MEM",78,15,18.5,2.9,6.3,0.465,0.2,0.6,0.333,2.8,5.8,0.478,0.48,1.3,1.8,0.752,1.8,3,4.8,0.9,0.6,0.4,1.1,2.4,7.4,1446,14.6,0.52,0.091,0.277,10.5,19.3,14.7,7.7,1.6,2.1,13,19.8,1.2,1.4,2.6,0.086,-1.6,-0.3,-1.9,0,"PF",6868.7,1.3,0.69,0.62,4.2,4.42,3.97,"25-27"
"Jeff Green","SF",29,"TOT",80,41,28.2,4.4,10.3,0.43,0.8,2.7,0.315,3.6,7.6,0.47,0.47,2.1,2.8,0.745,0.9,3.2,4.2,1.7,0.7,0.5,1.2,2.1,11.7,2253,13,0.51,0.258,0.267,3.6,13.3,8.3,10,1.3,1.5,9.2,20.2,1.3,1.7,3.1,0.065,-1,-0.7,-1.7,0.2,"SF",9773.4,1.85,1,0.86,3.93,4.15,3.7,"28-30"
